file_name,column_name,data_type,missing_count,missing_percentage,min_value,max_value,sample_values
listings,license,object,119,1.14,,,0363 974D 4986 7411 88D8 | 0363 607B EA74 0BD8 2F6F | 0363 607B EA74 0BD8 2F6F
listings,instant_bookable,object,0,0.0,,,f | f | f
listings,calculated_host_listings_count,int64,0,0.0,1,35,1 | 2 | 2
listings,calculated_host_listings_count_entire_homes,int64,0,0.0,0,32,0 | 0 | 0
listings,calculated_host_listings_count_private_rooms,int64,0,0.0,0,15,1 | 2 | 2
listings,calculated_host_listings_count_shared_rooms,int64,0,0.0,0,9,0 | 0 | 0
listings,reviews_per_month,float64,1097,10.47,0.01,99.42,1.87 | 3.99 | 4.81
calendar,listing_id,int64,0,0.0,27886,1506287353709120640,538723 | 538723 | 538723
calendar,date,object,0,0.0,,,2025-09-11 | 2025-09-12 | 2025-09-13
calendar,available,object,0,0.0,,,f | f | f
calendar,price,float64,3825200,100.0,,,
calendar,adjusted_price,float64,3825200,100.0,,,
calendar,minimum_nights,int64,0,0.0,1,1001,5 | 5 | 5
calendar,maximum_nights,int64,0,0.0,1,2147483647,30 | 30 | 30
reviews,listing_id,int64,0,0.0,27886,1498683773616453729,839610 | 839610 | 839610
reviews,id,int64,0,0.0,82539,1507955879635892504,33387684 | 33865462 | 47062612
reviews,date,object,0,0.0,,,2015-05-27 | 2015-06-01 | 2015-09-15
reviews,reviewer_id,int64,0,0.0,1,717414022,32412055 | 33521461 | 25521258
reviews,reviewer_name,object,1,0.0,,,Giuseppe | Chi Kwan | Scott
reviews,comments,object,31,0.01,,,"Nice time in nice place! Close to city center! Good accomodation | The host is very friendly and helpful | Michael, Jacob's son was the one to coordinate and greet us.  He was absolutely wonderful from the very start and put myself and my colleagues at ease that our stay would be great.  He especially catered to our arrival schedule by allowing us to drop our bags off before check-in time so we could start exploring the city right away.  We look forward to staying again next year!  "
neighbourhoods,neighbourhood_group,float64,22,100.0,,,
neighbourhoods,neighbourhood,object,0,0.0,,,Bijlmer-Centrum | Bijlmer-Oost | Bos en Lommer
