host_id,host_name,listing_count,average_price
1953637,James,1,235.0
1958812,Sanne,1,400.0
1962530,Jon,1,
1983990,Marieke,1,193.0
1995707,Marinka,1,163.0
1998272,Sascha,1,
2012163,Joop,1,
2028878,James,1,
2030712,Annemaartje,1,199.0
2035265,Shervin,1,156.0
2039312,Steven,1,162.0
2046301,Nina,1,287.0
2049639,Derek,1,
2056423,Danielle,1,400.0
2056690,Leonie,1,380.0
2057636,Rositsa,1,322.0
2063261,Miranda,1,
2067583,Ilaria,1,
2068431,Iris,1,
2071432,Tamas,1,125.0
2076713,Luba,1,89.0
2084430,Emese,1,104.0
2097993,Hil And Dee,1,280.0
2098841,Kimmy,1,700.0
2099153,Hilal,1,
2109872,Riccardo,1,277.0
2117205,Alexander,1,
2117385,Mijntje,1,149.0
2117711,Monica,1,
2117872,Rafael,1,222.0
2129723,Aukeline,1,
2131008,Matthijs,1,185.0
2133459,Onno,1,475.0
2136343,Marinus,1,199.0
2139186,Deniz,1,321.0
2144360,Feiko,1,
2156587,Beatrice,1,
2167559,Noortje,1,
2175668,Erik,1,300.0
2185391,Siobhán,1,
2191136,Jan,1,170.0
2193861,Marco,1,158.0
2197258,Iris,1,190.0
2202315,Nike,1,110.0
2202945,Heleen,1,60.0
2205020,Sophie,1,
2205206,Juliette,1,
2205770,Vibeke,1,84.0
2209241,Soraya,1,
2212219,Guus,1,158.0
2218299,Pieter-Jan,1,
2219455,Vik,1,405.0
2228518,Bo,1,
2236192,Fadi & Riek,1,
2238440,Richard En Birgit,2,386.5
2264215,Hein,1,
2267090,Martine,1,250.0
2272095,Katinka,1,162.0
2272670,Wouter,1,195.0
2288691,Sophie,1,
2290546,Emma,1,
2296442,Valerio,1,643.0
2297302,Milen & Joes,1,
2302855,Miriam,1,
2309485,Ned,1,115.0
2309801,Emmelie,1,102.0
2310302,Joost,1,540.0
2310949,Bruno,1,286.0
2311301,Josette,1,360.0
2313061,Marcel,2,122.0
2315216,Marieke,1,
2319358,Yorinde,1,
2323616,Roel,1,405.0
2324126,Peter,1,
2329053,Boris,1,
2329292,Cedric Didius,1,847.0
2331953,Foppe,1,153.0
2339119,Boy,1,161.0
2339287,Blair,1,475.0
2339838,Shauna,1,129.0
2341786,Roosmarijn,1,300.0
2342196,Kes,1,112.0
2346326,Maximilian,1,
2350442,Neil,1,489.0
2358181,Dayanara,1,
2358581,Sanne,1,
2359810,Doortje,1,253.0
2359815,Christopher,1,
2362878,Jouk,1,
2368759,Angie,1,
2377188,Maja,2,
2379150,Lissan,1,
2382179,Laura,1,
2386514,Roman,1,
2386958,Floor,1,
2390649,Bart,1,245.0
2395124,Emma,1,
2395278,Alexei Vladimirovič,1,
2399572,Sannah Sophie,1,
2413010,Sjanne,1,
2417166,Mirjam,1,240.0
2425674,Pieter,1,
2427338,Felicia & Marc,1,325.0
2431130,Carien,1,
2439449,Henriette,1,87.0
2442401,Diogo,1,
2452692,Monique,1,375.0
2453971,Kim,1,250.0
2455550,Jorn,1,113.0
2462748,Irma,1,158.0
2467597,Jasper,1,328.0
2480643,Emma,1,198.0
2483843,Alban,1,
2484593,Alexandre,1,436.0
2491388,Jennifer,1,232.0
2498889,Fahd,1,
2501656,Stephanie,1,500.0
2504583,Edwin,1,
2513287,Suzanne,1,218.0
2524784,Kirsten,1,
2524806,Herman,2,492.0
2531171,Carmen,1,
2532286,Ellen,1,
2532968,Marieke,1,
2534561,Elvira,1,215.0
2536879,Hansje,1,215.0
2539835,Marie,1,
2540480,Derk,1,210.0
2541099,Anne-Marie,1,175.0
2541713,Annelotte,1,300.0
2547237,Stefanie,1,285.0
2550339,Aemilia,1,350.0
2553183,Benjamin,1,
2560545,Grace,1,253.0
2561138,Frédéric,1,
2569931,Harriet,1,
2574458,Julia,1,239.0
2575092,Nora,1,254.0
2576800,Sebastiaan,1,181.0
2579930,Veronica,2,
2580855,Martine,1,319.0
2586468,Jaap,1,285.0
2587257,Josse,1,280.0
2588508,Jane,1,
2589433,Vera,1,
2594559,Els,1,125.0
2597146,Mathilde,2,85.0
2598068,Roy,1,148.0
2604285,Christina,1,160.0
2613141,Carlos,1,
2619349,Hielke Robert,1,
2626085,Sunna,1,
2633774,Daniel,1,355.0
2635708,Manon,1,
2638978,Kees,1,
2639261,Vera,1,
2642958,Eelco,1,
2647065,Pieter,1,399.0
2651625,Jussi,1,289.0
2659319,Hillegonda,1,100.0
2667507,Floor,1,
2672401,Alexander,1,270.0
2673817,Freek,1,
2673818,Georgina,1,180.0
2674028,Taco,1,417.0
2677887,Bart & Carolyn,1,
2695123,Janne,1,
2695462,Ragna,1,126.0
2699033,Barbara,1,
2705184,Juul & Ruub,1,131.0
2705202,Dorothea,1,104.0
2705484,Marleen,1,
2713572,Remco,1,207.0
2720513,Jorien,1,275.0
2724950,Monique,1,
2737834,Sophia,2,132.5
2740598,Florine,1,190.0
2753217,Eelco,1,
2757683,Veerle,1,
2764651,Maurice & Dorien,1,124.0
2769617,Matt,1,
2778881,Thijs,1,229.0
2780955,Shane,1,143.0
2782084,Marieke,1,212.0
2794984,Ben,2,
2797260,Noriko,1,
2803397,Joris,1,150.0
2806731,Noni,1,300.0
2809810,Maarten,1,599.0
2814596,Duco,1,316.0
2816490,Arthur,1,
2816647,Mark,1,
2818916,Thomas,1,248.0
2820665,Barak,1,
2822254,Nick,1,
2826060,Barbara,1,407.0
2826715,Maxime,1,351.0
2829587,Greg,1,98.0
2830952,Henning,1,
2831228,Veronique,1,
2838968,Barbara En Arjan,1,
2841843,Ansje & Walter,1,
2846229,Fabian&Tijana,1,390.0
2847616,Arie,3,249.33
2847951,Charlotte,1,300.0
2851886,Sonja,1,152.0
2865851,Oliver,1,187.0
2868026,Emer,1,
2873709,Alinda,1,361.0
2876505,Anna,1,
2878977,Jis,1,
2886205,Thomas,1,162.0
2888943,Sjors,1,289.0
2889957,Joya,1,
2890590,Caterina,1,
2893309,Rozemarijn,1,205.0
2902353,Anne,1,170.0
2908485,Luis,1,
2908962,Mamereke,1,
2912339,Kelli,1,180.0
2913467,Ido,1,
2914846,Lotte,1,280.0
2925797,Saskia,1,124.0
2934565,Eduardo,1,
2935150,Rod,1,
2936279,Swaantje Willemijn,1,458.0
2940865,Anna & Benjamin,1,
2941854,Rosa,1,
2944461,Breck,1,
2951222,Inge,1,
2953998,Floortje,1,198.0
2954547,Kim,2,113.0
2955185,Evie,1,
2956215,Vicente,2,131.0
2957606,Arthur,1,191.0
2957838,Laurens,1,
2960304,Kc,1,272.0
2963123,Juul,1,213.0
2965464,Lisa,1,
2966215,Valentijn,1,364.0
2968287,Christopher,1,
2976877,Donate,1,250.0
2978366,Frank & Jasmijn,1,277.0
2986763,Lymor,1,202.0
2989639,Luli,1,
2990475,Helen,1,
2991165,Dan,1,
2999168,Renée,1,
3000319,Bart,1,189.0
3002183,Jasper,1,293.0
3007402,Diewert,1,164.0
3008824,Lise,1,
3015785,Erik And Mary Jo,2,111.0
3018225,Vanessa,1,618.0
3018316,Corina,1,183.0
3031239,Niels Cornelis,1,255.0
3036391,Jiska,1,
3040748,Henk,8,87.62
3042726,Julius,1,349.0
3045205,Maxim,1,
3050361,Isabelle,1,302.0
3051202,Ruben,1,
3054367,Dorine,1,
3058379,Lyle,1,
3060852,Niek,1,
3071046,Cecile,1,
3072132,Sandra,1,
3073305,Roos,1,765.0
3076848,Sabine,1,
3077295,Franciska,1,240.0
3081599,Carla,1,
3082346,Dorette,1,
3091108,Duco,1,624.0
3093687,Fred,1,
3099441,Siri,1,300.0
3103461,Yoshua,1,175.0
3105007,Sip,1,
3110105,Joyce,3,400.0
3110620,Janwillem,1,100.0
3110803,Kristof,1,
3113556,Ingmar,1,
3119637,Mireia,1,181.0
3122261,Sandra,1,450.0
3133489,Joep&Enzo,1,197.0
3136773,Myrthe,1,
3139107,Vivian,1,500.0
3143799,Manon,1,
3144126,Florie,1,
3149685,Evan,1,248.0
3150708,Estanislao,1,255.0
3151196,Lieselot,1,
3157162,Marlous/Joost,1,437.0
3185335,Kim,1,313.0
3188453,Mark,1,152.0
3188645,Lotje,1,167.0
3192554,Wieneke,1,178.0
3194459,Roos,1,275.0
3196753,Loes,1,
3204169,Hester,1,533.0
3204480,Aart,1,
3205205,Chantal,2,
3219064,Celine,1,
3219665,Rob,2,60.0
3241444,Thijs,2,227.5
3243217,Luuk,1,
3248360,Stijn,1,
3249719,Ingrid,1,
3251999,Jessica,1,
3253639,Henriette,1,363.0
3254217,Andres,1,
3254842,Renee,1,86.0
3256461,Linsey,1,470.0
3261377,Pierre,1,
3267693,Santiago & Tony,1,
3269925,Alexandra,1,283.0
3272465,Ineke,1,
3276289,Lara,1,
3278419,Matthijs,2,172.0
3279032,Floris,1,
3288592,Nicole,1,136.0
3308502,Saar,1,285.0
3308880,Tristan,1,248.0
3315498,Yuri,1,216.0
3320018,Laurens,1,
3321288,Jared,1,257.0
3328145,Sophie,1,570.0
3332206,Stef,1,108.0
3335546,Sonia,2,104.0
3336575,Maaike,1,395.0
3338337,Charlotte,1,360.0
3339277,Pieter,1,
3342728,Gianna,1,
3347747,Nick,2,338.0
3349629,Lotte,1,332.0
3356377,Martijn,1,
3357860,Sietske,1,585.0
3358663,Cathelijne,1,
3359487,Malu,1,161.0
3374197,Brigit,1,
3375589,Fred Alexander,1,
3377010,Carlijn,1,
3378586,Nina,1,951.0
3384988,Sander,1,
3388577,Corien,1,
3398084,Cem,1,450.0
3399630,Mario,1,
3403063,David,1,204.0
3408466,Valentine,1,306.0
3409554,Marieke,1,145.0
3409826,Kith & Kin,4,218.0
3413238,Linda,1,479.0
3420532,Christian Antonio,1,175.0
3421572,Wing,1,53.0
3423288,Ingeborg,1,220.0
3430146,Ilanit Z,2,280.5
3432339,Joanne,1,
